age,male,female
0,16902278,16492100
5,16081055,15646960
10,14737336,14235350
15,12698523,12231232
20,10505748,10132464
25,8653747,8368602
30,7259685,7058204
35,6258467,6114859
40,5424612,5303268
45,4368944,4303351
50,3336640,3334826
55,2574317,2638257
60,1956506,2072828
65,1409689,1538071
70,913096,1024724
75,560410,613095
80,251533,285662
85,77325,94648
90,13384,19436
95,1127,2212
100,42,134
