age,probs
10,0.0014649037784028767
11,0.003128135950660078
12,0.021876990612635917
13,0.05215197372159326
14,0.16687105597145635
15,0.3072858099239733
16,0.1309205624705373
17,0.10871079974195062
18,0.07708640864337028
19,0.0377817215001322
20,0.03575117580878466
21,0.00974019901073421
22,0.01273933027892181
23,0.005515485909429729
24,0.009714733100405734
25,0.006752954261759073
26,0.005403109281484785
27,0.001885528289474065
28,0.002569998044915029
29,8.825222289160843e-4
30,0.0017666014704627092
