"age_partner","percent"
"9",0.00153636550030621
"10",0.00570630253046005
"11",0.00840528201606699
"12",0.0384547342393812
"13",0.0971615418687016
"14",0.184771680929911
"15",0.205172003724349
"16",0.122171180231797
"17",0.110005339334798
"18",0.0677510869151053
"19",0.0408463822678424
"20",0.0381257475475067
"21",0.016386629997892
"22",0.00998762475824263
"23",0.00963592682452238
"24",0.0139938326641537
"25",0.00676574567232345
"26",0.00378333186420745
"27",0.00536436111463777
"28",0.00450003735447956
"29",0.00283780760530325
"30",0.00257890795485881
"31",0.00037041107499579
"32",0.00108578203570214
"33",0.000425655019422221
"34",0.000593486975993479
"36",0.000813504618181638
"37",0.000369656457523721
"40",0.000399650901334729
