,month,rate
0,0.0,0.903125
1,1.0,0.868794326
2,2.0,0.746478873
3,3.0,0.648854962
4,4.0,0.563573883
5,5.0,0.457564576
6,6.0,0.254966887
7,7.0,0.2
8,8.0,0.146341463
9,9.0,0.10982659
10,10.0,0.10982659
11,11.0,0.101796407
