"age_partner","percent"
"4",0.00035478314943451
"5",0.000493636787133111
"6",0.000646811790183718
"7",0.000473375382089651
"8",0.000445321927309216
"9",0.000146747002697807
"10",0.0041301927748278
"11",0.00630417003871659
"12",0.0160978609317087
"13",0.0275812818375314
"14",0.0513948979952495
"15",0.0850177321453024
"16",0.107707639478128
"17",0.118103900998723
"18",0.102221476511141
"19",0.0870144655241204
"20",0.0750732586073704
"21",0.0600093184440615
"22",0.051019972383242
"23",0.0397047967550611
"24",0.0330143468758761
"25",0.035271591941357
"26",0.0233958760338141
"27",0.0165760483769036
"28",0.0111042761309193
"29",0.0129421824329764
"30",0.00667473019847395
"31",0.00554448826894046
"32",0.005180918862277
"33",0.00575790713905622
"34",0.00207318604043741
"35",0.00169575802382294
"36",0.00118373111630275
"37",0.000512725241498391
"38",0.00324808658438026
"39",0.000756717598209771
"40",0.000465921873594763
"41",0.000114978490228657
"42",0.000286575573277515
"43",6.19324547689927e-05
"44",7.89257424593984e-05
"45",0.000117454536393412
