year,crude_death_rate
1950,28
1955,27
1960,26.023
1965,25.605
1970,24.687
1975,20.995
1980,16.9
1985,13.531
1990,11.335
1995,11.11
2000,10.752
2005,9.137
2010,7.305
2015,6.141
2020,5.7
2025,5.7
2030,5.7
