"Estimate","Std. Error","t value","Pr(>|t|)","rhs"
-4.83625774244688,0.214773233622758,-22.517972378912,1.92739145890496e-53,"(Intercept)"
0.950271901840667,0.339310808818078,2.80059425501578,0.00567798904550876,"ns(age, knots = c(25, 40))1"
2.41725790185719,0.502678217629613,4.80875800279512,3.27244141118464e-06,"ns(age, knots = c(25, 40))2"
-3.07537511366012,0.367591377481636,-8.36628741057389,1.87044758981464e-14,"ns(age, knots = c(25, 40))3"
4.52054026942286,0.610027781212961,7.41038426222876,5.24640583918008e-12,"prior_userTRUE"
0.419503884332989,0.168789235842268,2.48537107381072,0.0138859427092631,"edu.levelPrimary"
0.462172591092631,0.171298778266581,2.69804954693478,0.00766155877750472,"edu.levelSecondary"
0.344463679027025,0.0286411129197937,12.0268957422031,1.22897713844465e-24,"parity"
0.227207140713454,0.126052179223802,1.80248482900129,0.0731998122294858,"urban"
0.016188205600569,0.0488464267756062,0.331410231395951,0.740733444001127,"wealthquintile"
-1.18172847315254,0.537638502278503,-2.19799822398209,0.0292693720431977,"ns(age, knots = c(25, 40))1:prior_userTRUE"
-3.68558151074405,1.44384675664282,-2.55261266044163,0.0115511335162109,"ns(age, knots = c(25, 40))2:prior_userTRUE"
2.75839150517882,0.580627957024536,4.75070390911655,4.22353508975307e-06,"ns(age, knots = c(25, 40))3:prior_userTRUE"
