"age_partner","percent"
"15",0.00282485875706215
"16",0.018361581920904
"17",0.0127118644067797
"18",0.0324858757062147
"19",0.0564971751412429
"20",0.0677966101694915
"21",0.114406779661017
"22",0.107344632768362
"23",0.0946327683615819
"24",0.0649717514124294
"25",0.0621468926553672
"26",0.0593220338983051
"27",0.0550847457627119
"28",0.038135593220339
"29",0.038135593220339
"30",0.0282485875706215
"31",0.0324858757062147
"32",0.0240112994350282
"33",0.0225988700564972
"34",0.00988700564971751
"35",0.0127118644067797
"36",0.00988700564971751
"37",0.00564971751412429
"38",0.0112994350282486
"39",0.00564971751412429
"40",0.00423728813559322
"41",0.00141242937853107
"43",0.00564971751412429
"45",0.00141242937853107
